gene,export,import,pair,cell_type,mean,std,n
CD3E,ABCA1,ABCA1,ABCA1@ABCA1,CD8 T Cell,-1.595622e-05,6.829505e-06,9364
CD3E,ATP7A,ATP7A,ATP7A@ATP7A,CD8 T Cell,-1.2157317e-06,4.9635537e-07,9364
CD3E,SLC16A4,SLC16A4,SLC16A4@SLC16A4,CD8 T Cell,1.0893562e-05,5.005725e-06,9364
CD3E,SLC16A4,SLCO2B1,SLC16A4@SLCO2B1,CD8 T Cell,-5.361663e-06,1.5497816e-06,9364
CD3E,SLCO2B1,SLC16A4,SLCO2B1@SLC16A4,CD8 T Cell,4.6506498e-06,1.0043038e-06,9364
CD3E,SLC16A1,SLC16A1,SLC16A1@SLC16A1,CD8 T Cell,1.7847595e-06,3.5253223e-07,9364
CD3E,SLC16A1,SLC16A4,SLC16A1@SLC16A4,CD8 T Cell,1.509529e-06,1.4665133e-06,9364
CD3E,SLC16A4,SLC16A1,SLC16A4@SLC16A1,CD8 T Cell,5.631975e-06,1.1164813e-06,9364
CD3E,SLCO2B1,SLCO2B1,SLCO2B1@SLCO2B1,CD8 T Cell,-2.6525751e-05,5.3923713e-06,9364
CD3E,SLC29A1,SLC29A1,SLC29A1@SLC29A1,CD8 T Cell,3.9749316e-06,5.1088923e-06,9364
CD3E,CD38,CD38,CD38@CD38,CD8 T Cell,-2.2779607e-06,5.027571e-07,9364
CD3E,ATP7B,TAP1,ATP7B@TAP1,CD8 T Cell,-2.9703399e-08,5.951726e-09,9364
CD3E,ATP7A,TAP1,ATP7A@TAP1,CD8 T Cell,8.567844e-06,2.5213062e-06,9364
CD3E,TAP1,ATP7A,TAP1@ATP7A,CD8 T Cell,6.1193157e-07,3.787321e-07,9364
CD3E,TAP1,TAP1,TAP1@TAP1,CD8 T Cell,1.3630676e-05,6.234088e-06,9364
CD3E,ABCC2,ABCC2,ABCC2@ABCC2,CD8 T Cell,6.229874e-08,1.832005e-08,9364
CD3E,SLC39A8,SLC39A8,SLC39A8@SLC39A8,CD8 T Cell,3.4955196e-08,9.918076e-09,9364
CD3E,CLCN5,CLCN5,CLCN5@CLCN5,CD8 T Cell,2.8776856e-07,1.5912157e-07,9364
CD3E,CLCN3,CLCN3,CLCN3@CLCN3,CD8 T Cell,2.7951459e-05,8.118147e-06,9364
CD3E,CLCN3,CLCN5,CLCN3@CLCN5,CD8 T Cell,4.9419627e-06,1.8837565e-06,9364
CD3E,CLCN5,CLCN3,CLCN5@CLCN3,CD8 T Cell,1.5550921e-06,4.5218775e-07,9364
CD3E,CD36,CD36,CD36@CD36,CD8 T Cell,-3.80546e-09,8.246604e-10,9364
CD3E,SLC1A3,SLC1A3,SLC1A3@SLC1A3,CD8 T Cell,1.0605799e-07,2.5265463e-08,9364
CD3E,SLC2A1,SLC2A1,SLC2A1@SLC2A1,CD8 T Cell,-6.517058e-08,3.7966476e-08,9364
CD3E,SLC2A3,SLC2A3,SLC2A3@SLC2A3,CD8 T Cell,2.1371667e-05,5.053966e-06,9364
CD3E,SLC2A1,SLC2A3,SLC2A1@SLC2A3,CD8 T Cell,7.92322e-07,3.6730623e-07,9364
CD3E,SLC2A3,SLC2A1,SLC2A3@SLC2A1,CD8 T Cell,1.9521833e-06,5.165965e-07,9364
CD3E,ABCB1,SLCO2B1,ABCB1@SLCO2B1,CD8 T Cell,-3.9053543e-09,4.9659254e-09,9364
CD3E,SLCO2B1,ABCB1,SLCO2B1@ABCB1,CD8 T Cell,3.7560453e-06,2.1621265e-06,9364
CD3E,CHRNA5,SLC29A1,CHRNA5@SLC29A1,CD8 T Cell,-4.6617996e-07,4.0986728e-07,9364
CD3E,SLC29A1,CHRNA5,SLC29A1@CHRNA5,CD8 T Cell,-1.8191956e-06,4.8004574e-07,9364
CD3E,CD36,MSR1,CD36@MSR1,CD8 T Cell,-2.2214285e-06,1.7627224e-06,9364
CD3E,MSR1,CD36,MSR1@CD36,CD8 T Cell,-6.983543e-07,6.637846e-07,9364
CD3E,CD36,CPT1A,CD36@CPT1A,CD8 T Cell,2.0923644e-06,4.0825745e-07,9364
CD3E,CPT1A,CD36,CPT1A@CD36,CD8 T Cell,4.128754e-09,1.2502118e-09,9364
CD3E,MSR1,MSR1,MSR1@MSR1,CD8 T Cell,-3.1558942e-05,7.522842e-06,9364
CD3E,CPT1A,MSR1,CPT1A@MSR1,CD8 T Cell,-9.672008e-06,2.7110038e-06,9364
CD3E,MSR1,CPT1A,MSR1@CPT1A,CD8 T Cell,-1.9072573e-07,1.1713365e-07,9364
CD3E,CPT1A,CPT1A,CPT1A@CPT1A,CD8 T Cell,3.3490849e-06,9.223107e-07,9364
